GAS_ZONES,TIMESERIES,LNG_import_ref_quantity
TX,20020101,0
VT,20020101,0
GA,20020101,252370.0532232
MN,20020101,0
ME,20020101,0
MS,20020101,0
FL,20020101,0
MA,20020101,446224.111025875
WA,20020101,0
MD,20020101,348188.697833825
NY,20020101,0
ND,20020101,0
NH,20020101,0
MT,20020101,0
LA,20020101,429585.013145445
ID,20020101,0
CA,20020101,0
MI,20020101,0
AZ,20020101,0
WA,20020110,0
NY,20020110,0
CA,20020110,0
AZ,20020110,0
MD,20020110,348188.697833825
ND,20020110,0
MA,20020110,446224.111025875
MT,20020110,0
MN,20020110,0
GA,20020110,252370.0532232
TX,20020110,0
NH,20020110,0
LA,20020110,429585.013145445
ID,20020110,0
MI,20020110,0
ME,20020110,0
FL,20020110,0
MS,20020110,0
VT,20020110,0
AZ,20020111,0
MI,20020111,0
MD,20020111,348188.697833825
WA,20020111,0
MA,20020111,446224.111025875
GA,20020111,252370.0532232
CA,20020111,0
MT,20020111,0
NY,20020111,0
NH,20020111,0
FL,20020111,0
ID,20020111,0
LA,20020111,429585.013145445
MS,20020111,0
ME,20020111,0
VT,20020111,0
TX,20020111,0
ND,20020111,0
MN,20020111,0
LA,20020112,429585.013145445
ME,20020112,0
ND,20020112,0
MD,20020112,348188.697833825
MA,20020112,446224.111025875
FL,20020112,0
CA,20020112,0
NY,20020112,0
MN,20020112,0
ID,20020112,0
WA,20020112,0
MI,20020112,0
VT,20020112,0
NH,20020112,0
MT,20020112,0
GA,20020112,252370.0532232
MS,20020112,0
AZ,20020112,0
TX,20020112,0
ME,20020113,0
WA,20020113,0
ND,20020113,0
TX,20020113,0
ID,20020113,0
MD,20020113,348188.697833825
MS,20020113,0
AZ,20020113,0
FL,20020113,0
MN,20020113,0
MA,20020113,446224.111025875
LA,20020113,429585.013145445
NH,20020113,0
VT,20020113,0
CA,20020113,0
MI,20020113,0
MT,20020113,0
GA,20020113,252370.0532232
NY,20020113,0
MA,20020114,446224.111025875
MI,20020114,0
ND,20020114,0
NH,20020114,0
ME,20020114,0
ID,20020114,0
WA,20020114,0
FL,20020114,0
TX,20020114,0
NY,20020114,0
MS,20020114,0
LA,20020114,429585.013145445
VT,20020114,0
CA,20020114,0
MN,20020114,0
AZ,20020114,0
GA,20020114,252370.0532232
MD,20020114,348188.697833825
MT,20020114,0
NH,20020115,0
MN,20020115,0
ND,20020115,0
VT,20020115,0
LA,20020115,429585.013145445
MT,20020115,0
NY,20020115,0
ME,20020115,0
MI,20020115,0
TX,20020115,0
WA,20020115,0
MA,20020115,446224.111025875
GA,20020115,252370.0532232
ID,20020115,0
MD,20020115,348188.697833825
AZ,20020115,0
MS,20020115,0
CA,20020115,0
FL,20020115,0
LA,20020116,429585.013145445
MN,20020116,0
ME,20020116,0
MA,20020116,446224.111025875
AZ,20020116,0
TX,20020116,0
CA,20020116,0
NY,20020116,0
ND,20020116,0
FL,20020116,0
MI,20020116,0
VT,20020116,0
MD,20020116,348188.697833825
GA,20020116,252370.0532232
ID,20020116,0
MT,20020116,0
WA,20020116,0
NH,20020116,0
