GAS_ZONES,LNG_liquefaction_predet_build_year,LNG_liquefaction_predet_cap,LNG_liquefaction_removed_cap,LNG_liquefaction_total_cap
AL,1965,16320,0,16320
AL,1966,0,0,16320
AL,1967,0,0,16320
AL,1968,0,0,16320
AL,1969,0,0,16320
AL,1970,0,0,16320
AL,1971,0,0,16320
AL,1972,1920,0,18240
AL,1973,0,0,18240
AL,1974,0,0,18240
AL,1975,0,0,18240
AL,1976,0,0,18240
AL,1977,0,0,18240
AL,1978,0,0,18240
AL,1979,0,0,18240
AL,1980,0,0,18240
AL,1981,0,0,18240
AL,1982,0,0,18240
AL,1983,0,0,18240
AL,1984,0,0,18240
AL,1985,0,0,18240
AL,1986,0,0,18240
AL,1987,0,0,18240
AL,1988,0,0,18240
AL,1989,0,0,18240
AL,1990,0,0,18240
AL,1991,0,0,18240
AL,1992,0,0,18240
AL,1993,0,0,18240
AL,1994,0,0,18240
AL,1995,0,0,18240
AL,1996,0,0,18240
AL,1997,0,0,18240
AL,1998,0,0,18240
AL,1999,0,0,18240
AL,2000,0,0,18240
AL,2001,0,0,18240
AR,1965,0,0,0
AR,1966,0,0,0
AR,1967,0,0,0
AR,1968,0,0,0
AR,1969,0,0,0
AR,1970,0,0,0
AR,1971,0,0,0
AR,1972,960,0,960
AR,1973,0,0,960
AR,1974,0,0,960
AR,1975,0,0,960
AR,1976,0,0,960
AR,1977,0,0,960
AR,1978,0,0,960
AR,1979,0,0,960
AR,1980,0,0,960
AR,1981,0,0,960
AR,1982,0,0,960
AR,1983,0,0,960
AR,1984,0,0,960
AR,1985,0,0,960
AR,1986,0,0,960
AR,1987,0,0,960
AR,1988,0,0,960
AR,1989,0,0,960
AR,1990,0,0,960
AR,1991,0,0,960
AR,1992,0,0,960
AR,1993,0,0,960
AR,1994,0,0,960
AR,1995,0,0,960
AR,1996,0,0,960
AR,1997,0,0,960
AR,1998,0,0,960
AR,1999,0,0,960
AR,2000,0,0,960
AR,2001,0,0,960
AZ,1965,7680,0,7680
AZ,1966,0,0,7680
AZ,1967,0,0,7680
AZ,1968,0,0,7680
AZ,1969,0,0,7680
AZ,1970,0,0,7680
AZ,1971,0,0,7680
AZ,1972,0,0,7680
AZ,1973,0,0,7680
AZ,1974,0,0,7680
AZ,1975,0,0,7680
AZ,1976,0,0,7680
AZ,1977,0,0,7680
AZ,1978,0,0,7680
AZ,1979,0,0,7680
AZ,1980,0,0,7680
AZ,1981,0,0,7680
AZ,1982,0,0,7680
AZ,1983,0,0,7680
AZ,1984,0,0,7680
AZ,1985,0,0,7680
AZ,1986,0,0,7680
AZ,1987,0,0,7680
AZ,1988,0,0,7680
AZ,1989,0,0,7680
AZ,1990,0,0,7680
AZ,1991,0,0,7680
AZ,1992,0,0,7680
AZ,1993,0,0,7680
AZ,1994,0,0,7680
AZ,1995,0,0,7680
AZ,1996,0,0,7680
AZ,1997,0,0,7680
AZ,1998,0,0,7680
AZ,1999,0,0,7680
AZ,2000,0,0,7680
AZ,2001,0,0,7680
CA,1965,0,0,0
CA,1966,0,0,0
CA,1967,0,0,0
CA,1968,0,0,0
CA,1969,0,0,0
CA,1970,0,0,0
CA,1971,0,0,0
CA,1972,0,0,0
CA,1973,0,0,0
CA,1974,0,0,0
CA,1975,0,0,0
CA,1976,0,0,0
CA,1977,0,0,0
CA,1978,0,0,0
CA,1979,0,0,0
CA,1980,0,0,0
CA,1981,0,0,0
CA,1982,0,0,0
CA,1983,0,0,0
CA,1984,0,0,0
CA,1985,0,0,0
CA,1986,0,0,0
CA,1987,0,0,0
CA,1988,0,0,0
CA,1989,0,0,0
CA,1990,0,0,0
CA,1991,0,0,0
CA,1992,0,0,0
CA,1993,0,0,0
CA,1994,0,0,0
CA,1995,0,0,0
CA,1996,0,0,0
CA,1997,0,0,0
CA,1998,0,0,0
CA,1999,0,0,0
CA,2000,0,0,0
CA,2001,0,0,0
CO,1965,0,0,0
CO,1966,0,0,0
CO,1967,0,0,0
CO,1968,0,0,0
CO,1969,0,0,0
CO,1970,0,0,0
CO,1971,0,0,0
CO,1972,0,0,0
CO,1973,0,0,0
CO,1974,0,0,0
CO,1975,0,0,0
CO,1976,0,0,0
CO,1977,0,0,0
CO,1978,0,0,0
CO,1979,0,0,0
CO,1980,0,0,0
CO,1981,0,0,0
CO,1982,0,0,0
CO,1983,0,0,0
CO,1984,0,0,0
CO,1985,0,0,0
CO,1986,0,0,0
CO,1987,0,0,0
CO,1988,0,0,0
CO,1989,0,0,0
CO,1990,0,0,0
CO,1991,0,0,0
CO,1992,0,0,0
CO,1993,0,0,0
CO,1994,0,0,0
CO,1995,0,0,0
CO,1996,0,0,0
CO,1997,0,0,0
CO,1998,0,0,0
CO,1999,0,0,0
CO,2000,0,0,0
CO,2001,0,0,0
CT,1965,0,0,0
CT,1966,0,0,0
CT,1967,0,0,0
CT,1968,0,0,0
CT,1969,0,0,0
CT,1970,0,0,0
CT,1971,0,0,0
CT,1972,11520,0,11520
CT,1973,0,0,11520
CT,1974,0,0,11520
CT,1975,0,0,11520
CT,1976,0,0,11520
CT,1977,0,0,11520
CT,1978,0,0,11520
CT,1979,0,0,11520
CT,1980,0,0,11520
CT,1981,0,0,11520
CT,1982,0,0,11520
CT,1983,0,0,11520
CT,1984,0,0,11520
CT,1985,0,0,11520
CT,1986,0,0,11520
CT,1987,0,0,11520
CT,1988,0,0,11520
CT,1989,0,0,11520
CT,1990,0,0,11520
CT,1991,0,0,11520
CT,1992,0,0,11520
CT,1993,0,0,11520
CT,1994,0,0,11520
CT,1995,0,0,11520
CT,1996,0,0,11520
CT,1997,0,0,11520
CT,1998,0,0,11520
CT,1999,0,0,11520
CT,2000,0,0,11520
CT,2001,0,0,11520
DC,1965,0,0,0
DC,1966,0,0,0
DC,1967,0,0,0
DC,1968,0,0,0
DC,1969,0,0,0
DC,1970,0,0,0
DC,1971,0,0,0
DC,1972,0,0,0
DC,1973,0,0,0
DC,1974,0,0,0
DC,1975,0,0,0
DC,1976,0,0,0
DC,1977,0,0,0
DC,1978,0,0,0
DC,1979,0,0,0
DC,1980,0,0,0
DC,1981,0,0,0
DC,1982,0,0,0
DC,1983,0,0,0
DC,1984,0,0,0
DC,1985,0,0,0
DC,1986,0,0,0
DC,1987,0,0,0
DC,1988,0,0,0
DC,1989,0,0,0
DC,1990,0,0,0
DC,1991,0,0,0
DC,1992,0,0,0
DC,1993,0,0,0
DC,1994,0,0,0
DC,1995,0,0,0
DC,1996,0,0,0
DC,1997,0,0,0
DC,1998,0,0,0
DC,1999,0,0,0
DC,2000,0,0,0
DC,2001,0,0,0
DE,1965,0,0,0
DE,1966,0,0,0
DE,1967,0,0,0
DE,1968,0,0,0
DE,1969,0,0,0
DE,1970,0,0,0
DE,1971,1920,0,1920
DE,1972,0,0,1920
DE,1973,0,0,1920
DE,1974,0,0,1920
DE,1975,0,0,1920
DE,1976,0,0,1920
DE,1977,0,0,1920
DE,1978,0,0,1920
DE,1979,0,0,1920
DE,1980,0,0,1920
DE,1981,0,0,1920
DE,1982,0,0,1920
DE,1983,0,0,1920
DE,1984,0,0,1920
DE,1985,0,0,1920
DE,1986,0,0,1920
DE,1987,0,0,1920
DE,1988,0,0,1920
DE,1989,0,0,1920
DE,1990,0,0,1920
DE,1991,0,0,1920
DE,1992,0,0,1920
DE,1993,0,0,1920
DE,1994,0,0,1920
DE,1995,0,0,1920
DE,1996,0,0,1920
DE,1997,0,0,1920
DE,1998,0,0,1920
DE,1999,0,0,1920
DE,2000,0,0,1920
DE,2001,0,0,1920
FL,1965,0,0,0
FL,1966,0,0,0
FL,1967,0,0,0
FL,1968,0,0,0
FL,1969,0,0,0
FL,1970,0,0,0
FL,1971,0,0,0
FL,1972,0,0,0
FL,1973,0,0,0
FL,1974,0,0,0
FL,1975,0,0,0
FL,1976,0,0,0
FL,1977,0,0,0
FL,1978,0,0,0
FL,1979,0,0,0
FL,1980,0,0,0
FL,1981,0,0,0
FL,1982,0,0,0
FL,1983,0,0,0
FL,1984,0,0,0
FL,1985,0,0,0
FL,1986,0,0,0
FL,1987,0,0,0
FL,1988,0,0,0
FL,1989,0,0,0
FL,1990,0,0,0
FL,1991,0,0,0
FL,1992,0,0,0
FL,1993,0,0,0
FL,1994,0,0,0
FL,1995,0,0,0
FL,1996,0,0,0
FL,1997,0,0,0
FL,1998,0,0,0
FL,1999,0,0,0
FL,2000,0,0,0
FL,2001,0,0,0
GA,1965,0,0,0
GA,1966,0,0,0
GA,1967,0,0,0
GA,1968,0,0,0
GA,1969,0,0,0
GA,1970,0,0,0
GA,1971,0,0,0
GA,1972,32640,0,32640
GA,1973,0,0,32640
GA,1974,1920,0,34560
GA,1975,0,0,34560
GA,1976,0,0,34560
GA,1977,9600,0,44160
GA,1978,0,0,44160
GA,1979,0,0,44160
GA,1980,0,0,44160
GA,1981,0,0,44160
GA,1982,0,0,44160
GA,1983,0,0,44160
GA,1984,0,0,44160
GA,1985,0,0,44160
GA,1986,0,0,44160
GA,1987,0,0,44160
GA,1988,9600,0,53760
GA,1989,0,0,53760
GA,1990,0,0,53760
GA,1991,0,0,53760
GA,1992,0,0,53760
GA,1993,0,0,53760
GA,1994,0,0,53760
GA,1995,0,0,53760
GA,1996,0,0,53760
GA,1997,0,0,53760
GA,1998,0,0,53760
GA,1999,0,0,53760
GA,2000,0,0,53760
GA,2001,0,0,53760
IA,1965,0,0,0
IA,1966,0,0,0
IA,1967,0,0,0
IA,1968,0,0,0
IA,1969,0,0,0
IA,1970,0,0,0
IA,1971,0,0,0
IA,1972,1920,0,1920
IA,1973,0,0,1920
IA,1974,0,0,1920
IA,1975,1920,0,3840
IA,1976,3840,0,7680
IA,1977,0,0,7680
IA,1978,10560,0,18240
IA,1979,0,0,18240
IA,1980,0,0,18240
IA,1981,0,0,18240
IA,1982,0,0,18240
IA,1983,0,0,18240
IA,1984,0,0,18240
IA,1985,0,0,18240
IA,1986,0,0,18240
IA,1987,0,0,18240
IA,1988,0,0,18240
IA,1989,0,0,18240
IA,1990,0,0,18240
IA,1991,0,0,18240
IA,1992,0,0,18240
IA,1993,0,0,18240
IA,1994,0,0,18240
IA,1995,0,0,18240
IA,1996,0,0,18240
IA,1997,0,0,18240
IA,1998,0,0,18240
IA,1999,0,0,18240
IA,2000,0,0,18240
IA,2001,0,0,18240
ID,1965,0,0,0
ID,1966,0,0,0
ID,1967,0,0,0
ID,1968,0,0,0
ID,1969,0,0,0
ID,1970,0,0,0
ID,1971,0,0,0
ID,1972,0,0,0
ID,1973,0,0,0
ID,1974,3840,0,3840
ID,1975,0,0,3840
ID,1976,0,0,3840
ID,1977,0,0,3840
ID,1978,0,0,3840
ID,1979,0,0,3840
ID,1980,0,0,3840
ID,1981,0,0,3840
ID,1982,0,0,3840
ID,1983,0,0,3840
ID,1984,0,0,3840
ID,1985,0,0,3840
ID,1986,0,0,3840
ID,1987,0,0,3840
ID,1988,0,0,3840
ID,1989,0,0,3840
ID,1990,0,0,3840
ID,1991,0,0,3840
ID,1992,0,0,3840
ID,1993,0,0,3840
ID,1994,0,0,3840
ID,1995,0,0,3840
ID,1996,0,0,3840
ID,1997,0,0,3840
ID,1998,0,0,3840
ID,1999,0,0,3840
ID,2000,0,0,3840
ID,2001,0,0,3840
IL,1965,0,0,0
IL,1966,0,0,0
IL,1967,0,0,0
IL,1968,0,0,0
IL,1969,0,0,0
IL,1970,0,0,0
IL,1971,0,0,0
IL,1972,9600,0,9600
IL,1973,0,0,9600
IL,1974,0,0,9600
IL,1975,0,0,9600
IL,1976,0,0,9600
IL,1977,0,0,9600
IL,1978,0,0,9600
IL,1979,0,0,9600
IL,1980,0,0,9600
IL,1981,0,0,9600
IL,1982,0,0,9600
IL,1983,0,0,9600
IL,1984,0,0,9600
IL,1985,0,0,9600
IL,1986,0,0,9600
IL,1987,0,0,9600
IL,1988,0,0,9600
IL,1989,0,0,9600
IL,1990,0,0,9600
IL,1991,0,0,9600
IL,1992,0,0,9600
IL,1993,0,0,9600
IL,1994,0,0,9600
IL,1995,0,0,9600
IL,1996,0,0,9600
IL,1997,0,0,9600
IL,1998,0,0,9600
IL,1999,0,0,9600
IL,2000,0,0,9600
IL,2001,0,0,9600
IN,1965,0,0,0
IN,1966,0,0,0
IN,1967,0,0,0
IN,1968,0,0,0
IN,1969,0,0,0
IN,1970,0,0,0
IN,1971,0,0,0
IN,1972,4800,0,4800
IN,1973,960,0,5760
IN,1974,11520,0,17280
IN,1975,0,0,17280
IN,1976,0,0,17280
IN,1977,0,0,17280
IN,1978,0,0,17280
IN,1979,0,0,17280
IN,1980,0,0,17280
IN,1981,0,0,17280
IN,1982,0,0,17280
IN,1983,0,0,17280
IN,1984,0,0,17280
IN,1985,0,0,17280
IN,1986,0,0,17280
IN,1987,0,0,17280
IN,1988,0,0,17280
IN,1989,0,0,17280
IN,1990,0,0,17280
IN,1991,7680,0,24960
IN,1992,0,0,24960
IN,1993,0,0,24960
IN,1994,0,0,24960
IN,1995,0,0,24960
IN,1996,0,0,24960
IN,1997,0,0,24960
IN,1998,0,0,24960
IN,1999,0,0,24960
IN,2000,0,0,24960
IN,2001,0,0,24960
KS,1965,0,0,0
KS,1966,0,0,0
KS,1967,0,0,0
KS,1968,0,0,0
KS,1969,0,0,0
KS,1970,0,0,0
KS,1971,0,0,0
KS,1972,0,0,0
KS,1973,0,0,0
KS,1974,0,0,0
KS,1975,0,0,0
KS,1976,0,0,0
KS,1977,0,0,0
KS,1978,0,0,0
KS,1979,0,0,0
KS,1980,0,0,0
KS,1981,0,0,0
KS,1982,0,0,0
KS,1983,0,0,0
KS,1984,0,0,0
KS,1985,0,0,0
KS,1986,0,0,0
KS,1987,0,0,0
KS,1988,0,0,0
KS,1989,0,0,0
KS,1990,0,0,0
KS,1991,0,0,0
KS,1992,0,0,0
KS,1993,0,0,0
KS,1994,0,0,0
KS,1995,0,0,0
KS,1996,0,0,0
KS,1997,0,0,0
KS,1998,0,0,0
KS,1999,0,0,0
KS,2000,0,0,0
KS,2001,0,0,0
KY,1965,0,0,0
KY,1966,0,0,0
KY,1967,0,0,0
KY,1968,0,0,0
KY,1969,0,0,0
KY,1970,0,0,0
KY,1971,0,0,0
KY,1972,0,0,0
KY,1973,0,0,0
KY,1974,0,0,0
KY,1975,0,0,0
KY,1976,0,0,0
KY,1977,0,0,0
KY,1978,0,0,0
KY,1979,0,0,0
KY,1980,0,0,0
KY,1981,0,0,0
KY,1982,0,0,0
KY,1983,0,0,0
KY,1984,0,0,0
KY,1985,0,0,0
KY,1986,0,0,0
KY,1987,0,0,0
KY,1988,0,0,0
KY,1989,0,0,0
KY,1990,0,0,0
KY,1991,0,0,0
KY,1992,0,0,0
KY,1993,0,0,0
KY,1994,0,0,0
KY,1995,0,0,0
KY,1996,0,0,0
KY,1997,0,0,0
KY,1998,0,0,0
KY,1999,0,0,0
KY,2000,0,0,0
KY,2001,0,0,0
LA,1965,0,0,0
LA,1966,0,0,0
LA,1967,0,0,0
LA,1968,0,0,0
LA,1969,0,0,0
LA,1970,0,0,0
LA,1971,0,0,0
LA,1972,0,0,0
LA,1973,0,0,0
LA,1974,0,0,0
LA,1975,0,0,0
LA,1976,0,0,0
LA,1977,0,0,0
LA,1978,0,0,0
LA,1979,0,0,0
LA,1980,0,0,0
LA,1981,0,0,0
LA,1982,0,0,0
LA,1983,0,0,0
LA,1984,0,0,0
LA,1985,0,0,0
LA,1986,0,0,0
LA,1987,0,0,0
LA,1988,0,0,0
LA,1989,0,0,0
LA,1990,0,0,0
