LNG_ROUTE,LNG_route_gz1,LNG_route_gz2,LNG_route_distance,LNG_flow_allowed
AL_AR,AL,AR,593.657658203037,1
AL_AZ,AL,AZ,2334.06261863877,1
AL_CA,AL,CA,3000.74043420316,1
AL_CO,AL,CO,1803.14354280287,1
AL_CT,AL,CT,1548.01703003687,1
AL_DC,AL,DC,1095.20451643708,0
AL_DE,AL,DE,1228.03730004435,1
AL_FL,AL,FL,756.966114329044,1
AL_GA,AL,GA,270.067890692085,1
AL_IA,AL,IA,1138.63503083721,1
AL_ID,AL,ID,2752.1896914851,1
AL_IL,AL,IL,932.791095882907,1
AL_IN,AL,IN,796.251291579637,1
AL_KS,AL,KS,1065.55061442782,0
AL_KY,AL,KY,553.474185764,0
AL_LA,AL,LA,517.097421293242,1
AL_MA,AL,MA,1699.63853199119,1
AL_MD,AL,MD,1124.9931203886,1
AL_ME,AL,ME,1934.60008238637,1
AL_MI,AL,MI,1120.40034661446,0
AL_MN,AL,MN,1478.65371676872,1
AL_MO,AL,MO,778.06128961989,1
AL_MS,AL,MS,268.434898384084,1
AL_MT,AL,MT,2580.23345723426,1
AL_NC,AL,NC,710.838778568573,1
AL_ND,AL,ND,1915.72424340811,1
AL_NE,AL,NE,1304.3684961397,1
AL_NH,AL,NH,1747.42272349831,1
AL_NJ,AL,NJ,1373.32044937704,1
AL_NM,AL,NM,1819.3388836572,1
AL_NV,AL,NV,2712.65732696438,1
AL_NY,AL,NY,1427.88906141205,1
AL_OH,AL,OH,902.035466360182,0
AL_OK,AL,OK,970.204121387788,1
AL_OR,AL,OR,3334.91327257216,1
AL_PA,AL,PA,1199.63236783784,1
AL_RI,AL,RI,1663.25323355298,1
AL_SC,AL,SC,544.360040281444,1
AL_SD,AL,SD,1621.23923589928,1
AL_TN,AL,TN,313.852872676294,1
AL_TX,AL,TX,1029.1686941952,1
AL_UT,AL,UT,2382.26689512327,0
AL_VA,AL,VA,970.955124823847,1
AL_VT,AL,VT,1726.10652098388,0
AL_WA,AL,WA,3328.56858897999,1
AL_WI,AL,WI,1208.96456032902,1
AL_WV,AL,WV,842.371528034754,0
AL_WY,AL,WY,2074.67844108132,1
AR_AZ,AR,AZ,1775.65900809212,1
AR_CA,AR,CA,2419.97263073954,1
AR_CO,AR,CO,1211.31848449193,1
AR_CT,AR,CT,1861.91946340859,1
AR_DC,AR,DC,1449.87542557362,0
AR_DE,AR,DE,1583.33001820233,1
AR_FL,AR,FL,1323.50659568549,1
AR_GA,AR,GA,829.936220103043,1
AR_IA,AR,IA,758.182693984935,1
AR_ID,AR,ID,2169.99823082912,1
AR_IL,AR,IL,779.302823640951,1
AR_IN,AR,IN,792.553610683805,1
AR_KS,AR,KS,501.439050286151,0
AR_KY,AR,KY,727.26864527792,0
AR_LA,AR,LA,503.321445435044,1
AR_MA,AR,MA,2005.70833994508,1
AR_MD,AR,MD,1473.56142458367,1
AR_ME,AR,ME,2201.36900573275,1
AR_MI,AR,MI,1127.5375541388,0
AR_MN,AR,MN,1122.78515221185,1
AR_MO,AR,MO,367.582540952869,1
AR_MS,AR,MS,401.829153254048,1
AR_MT,AR,MT,2025.47837628105,1
AR_NC,AR,NC,1180.22078061064,1
AR_ND,AR,ND,1467.46475722554,1
AR_NE,AR,NE,785.487672099249,1
AR_NH,AR,NH,2027.63660707386,1
AR_NJ,AR,NJ,1704.25094081911,1
AR_NM,AR,NM,1251.65830887621,1
AR_NV,AR,NV,2125.14437255814,1
AR_NY,AR,NY,1721.0546960523,1
AR_OH,AR,OH,1051.13804277591,0
AR_OK,AR,OK,382.597730199033,1
AR_OR,AR,OR,2748.9053971174,1
AR_PA,AR,PA,1494.94713555508,1
AR_RI,AR,RI,1983.30099668187,1
AR_SC,AR,SC,1073.39144973925,1
AR_SD,AR,SD,1127.1394786411,1
AR_TN,AR,TN,576.070669764473,1
AR_TX,AR,TX,644.795990969464,1
AR_UT,AR,UT,1789.19130721579,0
AR_VA,AR,VA,1360.09925808277,1
AR_VT,AR,VT,1964.12621946056,0
AR_WA,AR,WA,2755.28827624621,1
