GAS_LINES,gas_line_predet_build_year,gas_line_predet_cap,gas_line_total_cap_general
AL_FL,1990,1021445,1021445
AL_FL,1991,0,1021445
AL_FL,1992,0,1021445
AL_FL,1993,0,1021445
AL_FL,1994,124440,1145885
AL_FL,1995,554795,1700680
AL_FL,1996,0,1700680
AL_FL,1997,0,1700680
AL_FL,1998,25925,1726605
AL_FL,1999,0,1726605
AL_FL,2000,0,1726605
AL_FL,2001,207400,1934005
AL_GA,1990,5052264,5052264
AL_GA,1991,0,5052264
AL_GA,1992,0,5052264
AL_GA,1993,0,5052264
AL_GA,1994,90219,5142483
AL_GA,1995,119255,5261738
AL_GA,1996,57035,5318773
AL_GA,1997,150365,5469138
AL_GA,1998,157624,5626762
AL_GA,1999,0,5626762
AL_GA,2000,207400,5834162
AL_GA,2001,17629,5851791
AL_MS,1990,11289819,11289819
AL_MS,1991,0,11289819
AL_MS,1992,0,11289819
AL_MS,1993,0,11289819
AL_MS,1994,573461,11863280
AL_MS,1995,496723,12360003
AL_MS,1996,57035,12417038
AL_MS,1997,150365,12567403
AL_MS,1998,0,12567403
AL_MS,1999,0,12567403
AL_MS,2000,0,12567403
AL_MS,2001,82960,12650363
AL_TN,1990,3887713,3887713
AL_TN,1991,0,3887713
AL_TN,1992,0,3887713
AL_TN,1993,0,3887713
AL_TN,1994,346358,4234071
AL_TN,1995,0,4234071
AL_TN,1996,0,4234071
AL_TN,1997,0,4234071
AL_TN,1998,0,4234071
AL_TN,1999,0,4234071
AL_TN,2000,0,4234071
AL_TN,2001,0,4234071
AR_LA,1990,7709058,7709058
AR_LA,1991,0,7709058
AR_LA,1992,0,7709058
AR_LA,1993,0,7709058
AR_LA,1994,292434,8001492
AR_LA,1995,0,8001492
AR_LA,1996,0,8001492
AR_LA,1997,15555,8017047
AR_LA,1998,0,8017047
AR_LA,1999,0,8017047
AR_LA,2000,0,7760908
AR_LA,2001,434503,8195411
AR_MO,1990,2915007,2915007
AR_MO,1991,0,2915007
AR_MO,1992,0,2915007
AR_MO,1993,0,2915007
AR_MO,1994,0,2863157
