state_name,GAS_ZONES,gas_storage_type,gas_storage_predet_build_year,gas_storage_predet_cap,gas_storage_removed_cap,gas_storage_total_cap
Alabama,AL,aquifer,1999,0,0,0
Alabama,AL,aquifer,2000,0,0,0
Alabama,AL,aquifer,2001,0,0,0
Alabama,AL,depleted field,1999,0,0,0
Alabama,AL,depleted field,2000,0,0,0
Alabama,AL,depleted field,2001,1720651.85185185,0,1720651.85185185
Alabama,AL,salt cavern,1999,2480393.75415282,0,2480393.75415282
Alabama,AL,salt cavern,2000,0,0,2480393.75415282
Alabama,AL,salt cavern,2001,0,0,2480393.75415282
Arkansas,AR,aquifer,1999,0,0,0
Arkansas,AR,aquifer,2000,0,0,0
Arkansas,AR,aquifer,2001,0,0,0
Arkansas,AR,depleted field,1999,10223368.6062639,0,10223368.6062639
Arkansas,AR,depleted field,2000,0,925555.0743166,9297813.5319473
Arkansas,AR,depleted field,2001,0,0,9297813.5319473
Arkansas,AR,salt cavern,1999,0,0,0
Arkansas,AR,salt cavern,2000,0,0,0
Arkansas,AR,salt cavern,2001,0,0,0
California,CA,aquifer,1999,0,0,0
California,CA,aquifer,2000,0,0,0
California,CA,aquifer,2001,0,0,0
California,CA,depleted field,1999,247374706.009734,0,247374706.009734
California,CA,depleted field,2000,0,0,247374706.009734
California,CA,depleted field,2001,56804016.522014,0,304178722.531748
California,CA,salt cavern,1999,1464658.8,0,1464658.8
California,CA,salt cavern,2000,75286.2,0,1539945
California,CA,salt cavern,2001,0,1539945,0
Colorado,CO,aquifer,1999,0,0,0
Colorado,CO,aquifer,2000,0,0,0
Colorado,CO,aquifer,2001,0,0,0
Colorado,CO,depleted field,1999,52519997.2253802,0,52519997.2253802
Colorado,CO,depleted field,2000,330626.193639606,0,52850623.4190198
Colorado,CO,depleted field,2001,0,0,52850623.4190198
Colorado,CO,salt cavern,1999,0,0,0
Colorado,CO,salt cavern,2000,0,0,0
Colorado,CO,salt cavern,2001,0,0,0
Illinois,IL,aquifer,1999,214984362.271019,0,214984362.271019
Illinois,IL,aquifer,2000,0,0,214984362.271019
Illinois,IL,aquifer,2001,0,0,214984362.271019
Illinois,IL,depleted field,1999,77440281.8949259,0,77440281.8949259
Illinois,IL,depleted field,2000,0,0,77440281.8949259
Illinois,IL,depleted field,2001,0,0,77440281.8949259
Illinois,IL,salt cavern,1999,0,0,0
Illinois,IL,salt cavern,2000,0,0,0
Illinois,IL,salt cavern,2001,0,0,0
Indiana,IN,aquifer,1999,23821375.2534786,0,23821375.2534786
Indiana,IN,aquifer,2000,0,0,23821375.2534786
Indiana,IN,aquifer,2001,0,9382803.6826027,14438571.5708759
Indiana,IN,depleted field,1999,7964789.64056784,0,7964789.64056784
Indiana,IN,depleted field,2000,0,0,7964789.64056784
Indiana,IN,depleted field,2001,15177161.9445556,0,23141951.5851234
Indiana,IN,salt cavern,1999,0,0,0
Indiana,IN,salt cavern,2000,0,0,0
Indiana,IN,salt cavern,2001,0,0,0
Iowa,IA,aquifer,1999,88777042.8826203,0,88777042.8826203
Iowa,IA,aquifer,2000,0,0,88777042.8826203
Iowa,IA,aquifer,2001,0,0,88777042.8826203
Iowa,IA,depleted field,1999,0,0,0
Iowa,IA,depleted field,2000,0,0,0
Iowa,IA,depleted field,2001,0,0,0
Kansas,KS,aquifer,1999,0,0,0
Kansas,KS,aquifer,2000,0,0,0
Kansas,KS,aquifer,2001,0,0,0
Kansas,KS,depleted field,1999,134073759.469847,0,134073759.469847
Kansas,KS,depleted field,2000,0,315466.608948991,133758292.860898
Kansas,KS,depleted field,2001,495733.242633983,0,134254026.103532
Kansas,KS,salt cavern,1999,2463912,0,2463912
Kansas,KS,salt cavern,2000,0,0,2463912
Kansas,KS,salt cavern,2001,0,0,2463912
Kentucky,KY,aquifer,1999,6372987.76299854,0,6372987.76299854
Kentucky,KY,aquifer,2000,0,0,6372987.76299854
Kentucky,KY,aquifer,2001,0,510931.49516253,5862056.26783601
Kentucky,KY,depleted field,1999,103489060.827055,0,103489060.827055
Kentucky,KY,depleted field,2000,2952.05079799891,0,103492012.877853
Kentucky,KY,depleted field,2001,713412.276310995,0,104205425.154164
Kentucky,KY,salt cavern,1999,0,0,0
Kentucky,KY,salt cavern,2000,0,0,0
Kentucky,KY,salt cavern,2001,0,0,0
Louisiana,LA,aquifer,1999,0,0,0
Louisiana,LA,aquifer,2000,0,0,0
Louisiana,LA,aquifer,2001,0,0,0
Louisiana,LA,depleted field,1999,309494308.737431,0,309494308.737431
Louisiana,LA,depleted field,2000,0,0,309494308.737431
Louisiana,LA,depleted field,2001,0,0,309494308.737431
Louisiana,LA,salt cavern,1999,24727714.102118,0,24727714.102118
Louisiana,LA,salt cavern,2000,3766940.393009,0,28494654.495127
Louisiana,LA,salt cavern,2001,5626885.5909624,0,34121540.0860894
Maryland,MD,depleted field,1999,18384065.625,0,18384065.625
Maryland,MD,depleted field,2000,0,0,18384065.625
Maryland,MD,depleted field,2001,0,0,18384065.625
Maryland,MD,salt cavern,1999,0,0,0
Maryland,MD,salt cavern,2000,0,0,0
Maryland,MD,salt cavern,2001,0,0,0
Michigan,MI,aquifer,1999,10320224,0,10320224
Michigan,MI,aquifer,2000,0,0,10320224
Michigan,MI,aquifer,2001,0,10320224,0
Michigan,MI,depleted field,1999,686908685.957815,0,686908685.957815
Michigan,MI,depleted field,2000,0,650548.208396077,686258137.749419
Michigan,MI,depleted field,2001,21254774.6620851,0,707512912.411504
