GAS_ZONES,TIMESERIES,gas_import_ref_quantity,gas_export_ref_quantity
TX,20020101,14744.2555542511,1026229.84191911
VT,20020101,26147.7836285723,0
GA,20020101,0,0
MN,20020101,1282856.68100171,0
ME,20020101,361053.547402948,0
MS,20020101,0,0
FL,20020101,0,0
MA,20020101,0,0
WA,20020101,1047560.04799702,4512.08862865216
MD,20020101,0,0
NY,20020101,2510552.98787252,0
ND,20020101,1457627.22901019,0
NH,20020101,87354.0204403722,0
MT,20020101,2275899.99261868,74702.941035923
LA,20020101,0,0
ID,20020101,2108181.61015925,0
CA,20020101,0,303159.055158334
MI,20020101,56421.6565696108,1225429.54417079
AZ,20020101,0,44071.0153016247
WA,20020110,1047560.04799702,4512.08862865216
NY,20020110,2510552.98787252,0
CA,20020110,0,303159.055158334
AZ,20020110,0,44071.0153016247
MD,20020110,0,0
ND,20020110,1457627.22901019,0
MA,20020110,0,0
MT,20020110,2275899.99261868,74702.941035923
MN,20020110,1282856.68100171,0
GA,20020110,0,0
TX,20020110,14744.2555542511,1026229.84191911
NH,20020110,87354.0204403722,0
LA,20020110,0,0
ID,20020110,2108181.61015925,0
MI,20020110,56421.6565696108,1225429.54417079
ME,20020110,361053.547402948,0
FL,20020110,0,0
MS,20020110,0,0
VT,20020110,26147.7836285723,0
AZ,20020111,0,44071.0153016247
MI,20020111,56421.6565696108,1225429.54417079
MD,20020111,0,0
WA,20020111,1047560.04799702,4512.08862865216
MA,20020111,0,0
GA,20020111,0,0
CA,20020111,0,303159.055158334
MT,20020111,2275899.99261868,74702.941035923
NY,20020111,2510552.98787252,0
NH,20020111,87354.0204403722,0
FL,20020111,0,0
ID,20020111,2108181.61015925,0
LA,20020111,0,0
MS,20020111,0,0
ME,20020111,361053.547402948,0
VT,20020111,26147.7836285723,0
TX,20020111,14744.2555542511,1026229.84191911
ND,20020111,1457627.22901019,0
MN,20020111,1282856.68100171,0
LA,20020112,0,0
ME,20020112,361053.547402948,0
ND,20020112,1457627.22901019,0
MD,20020112,0,0
MA,20020112,0,0
FL,20020112,0,0
CA,20020112,0,303159.055158334
NY,20020112,2510552.98787252,0
MN,20020112,1282856.68100171,0
ID,20020112,2108181.61015925,0
WA,20020112,1047560.04799702,4512.08862865216
MI,20020112,56421.6565696108,1225429.54417079
VT,20020112,26147.7836285723,0
NH,20020112,87354.0204403722,0
MT,20020112,2275899.99261868,74702.941035923
GA,20020112,0,0
MS,20020112,0,0
AZ,20020112,0,44071.0153016247
TX,20020112,14744.2555542511,1026229.84191911
ME,20020113,361053.547402948,0
WA,20020113,1047560.04799702,4512.08862865216
ND,20020113,1457627.22901019,0
TX,20020113,14744.2555542511,1026229.84191911
ID,20020113,2108181.61015925,0
MD,20020113,0,0
MS,20020113,0,0
AZ,20020113,0,44071.0153016247
FL,20020113,0,0
MN,20020113,1282856.68100171,0
MA,20020113,0,0
LA,20020113,0,0
NH,20020113,87354.0204403722,0
VT,20020113,26147.7836285723,0
CA,20020113,0,303159.055158334
MI,20020113,56421.6565696108,1225429.54417079
MT,20020113,2275899.99261868,74702.941035923
GA,20020113,0,0
NY,20020113,2510552.98787252,0
MA,20020114,0,0
MI,20020114,56421.6565696108,1225429.54417079
ND,20020114,1457627.22901019,0
NH,20020114,87354.0204403722,0
ME,20020114,361053.547402948,0
ID,20020114,2108181.61015925,0
WA,20020114,1047560.04799702,4512.08862865216
FL,20020114,0,0
TX,20020114,14744.2555542511,1026229.84191911
NY,20020114,2510552.98787252,0
MS,20020114,0,0
LA,20020114,0,0
VT,20020114,26147.7836285723,0
CA,20020114,0,303159.055158334
MN,20020114,1282856.68100171,0
AZ,20020114,0,44071.0153016247
GA,20020114,0,0
MD,20020114,0,0
MT,20020114,2275899.99261868,74702.941035923
NH,20020115,87354.0204403722,0
MN,20020115,1282856.68100171,0
ND,20020115,1457627.22901019,0
VT,20020115,26147.7836285723,0
LA,20020115,0,0
MT,20020115,2275899.99261868,74702.941035923
NY,20020115,2510552.98787252,0
ME,20020115,361053.547402948,0
MI,20020115,56421.6565696108,1225429.54417079
TX,20020115,14744.2555542511,1026229.84191911
WA,20020115,1047560.04799702,4512.08862865216
MA,20020115,0,0
GA,20020115,0,0
ID,20020115,2108181.61015925,0
MD,20020115,0,0
AZ,20020115,0,44071.0153016247
MS,20020115,0,0
CA,20020115,0,303159.055158334
FL,20020115,0,0
LA,20020116,0,0
MN,20020116,1282856.68100171,0
ME,20020116,361053.547402948,0
MA,20020116,0,0
AZ,20020116,0,44071.0153016247
TX,20020116,14744.2555542511,1026229.84191911
CA,20020116,0,303159.055158334
NY,20020116,2510552.98787252,0
ND,20020116,1457627.22901019,0
FL,20020116,0,0
MI,20020116,56421.6565696108,1225429.54417079
VT,20020116,26147.7836285723,0
MD,20020116,0,0
GA,20020116,0,0
ID,20020116,2108181.61015925,0
MT,20020116,2275899.99261868,74702.941035923
WA,20020116,1047560.04799702,4512.08862865216
NH,20020116,87354.0204403722,0
MS,20020116,0,0
GA,20020117,0,0
MN,20020117,1282856.68100171,0
VT,20020117,26147.7836285723,0
ND,20020117,1457627.22901019,0
CA,20020117,0,303159.055158334
LA,20020117,0,0
MS,20020117,0,0
NY,20020117,2510552.98787252,0
ID,20020117,2108181.61015925,0
MI,20020117,56421.6565696108,1225429.54417079
FL,20020117,0,0
MT,20020117,2275899.99261868,74702.941035923
MA,20020117,0,0
AZ,20020117,0,44071.0153016247
TX,20020117,14744.2555542511,1026229.84191911
MD,20020117,0,0
NH,20020117,87354.0204403722,0
WA,20020117,1047560.04799702,4512.08862865216
ME,20020117,361053.547402948,0
MD,20020118,0,0
NH,20020118,87354.0204403722,0
VT,20020118,26147.7836285723,0
GA,20020118,0,0
LA,20020118,0,0
ID,20020118,2108181.61015925,0
NY,20020118,2510552.98787252,0
CA,20020118,0,303159.055158334
ND,20020118,1457627.22901019,0
ME,20020118,361053.547402948,0
MI,20020118,56421.6565696108,1225429.54417079
MS,20020118,0,0
MA,20020118,0,0
FL,20020118,0,0
AZ,20020118,0,44071.0153016247
MT,20020118,2275899.99261868,74702.941035923
TX,20020118,14744.2555542511,1026229.84191911
WA,20020118,1047560.04799702,4512.08862865216
MN,20020118,1282856.68100171,0
LA,20020119,0,0
AZ,20020119,0,44071.0153016247
ID,20020119,2108181.61015925,0
NH,20020119,87354.0204403722,0
TX,20020119,14744.2555542511,1026229.84191911
ME,20020119,361053.547402948,0
VT,20020119,26147.7836285723,0
MS,20020119,0,0
CA,20020119,0,303159.055158334
MD,20020119,0,0
NY,20020119,2510552.98787252,0
ND,20020119,1457627.22901019,0
GA,20020119,0,0
MA,20020119,0,0
WA,20020119,1047560.04799702,4512.08862865216
MI,20020119,56421.6565696108,1225429.54417079
FL,20020119,0,0
MN,20020119,1282856.68100171,0
MT,20020119,2275899.99261868,74702.941035923
MN,20020102,1282856.68100171,0
ND,20020102,1457627.22901019,0
MT,20020102,2275899.99261868,74702.941035923
MD,20020102,0,0
MS,20020102,0,0
AZ,20020102,0,44071.0153016247
GA,20020102,0,0
FL,20020102,0,0
ID,20020102,2108181.61015925,0
NH,20020102,87354.0204403722,0
LA,20020102,0,0
MI,20020102,56421.6565696108,1225429.54417079
MA,20020102,0,0
CA,20020102,0,303159.055158334
TX,20020102,14744.2555542511,1026229.84191911
VT,20020102,26147.7836285723,0
NY,20020102,2510552.98787252,0
WA,20020102,1047560.04799702,4512.08862865216
ME,20020102,361053.547402948,0
CA,20020120,0,303159.055158334
LA,20020120,0,0
ME,20020120,361053.547402948,0
MA,20020120,0,0
AZ,20020120,0,44071.0153016247
ND,20020120,1457627.22901019,0
NY,20020120,2510552.98787252,0
FL,20020120,0,0
ID,20020120,2108181.61015925,0
MD,20020120,0,0
WA,20020120,1047560.04799702,4512.08862865216
MN,20020120,1282856.68100171,0
MS,20020120,0,0
NH,20020120,87354.0204403722,0
GA,20020120,0,0
MI,20020120,56421.6565696108,1225429.54417079
MT,20020120,2275899.99261868,74702.941035923
TX,20020120,14744.2555542511,1026229.84191911
VT,20020120,26147.7836285723,0
CA,20020121,0,303159.055158334
MA,20020121,0,0
NY,20020121,2510552.98787252,0
TX,20020121,14744.2555542511,1026229.84191911
LA,20020121,0,0
MI,20020121,56421.6565696108,1225429.54417079
WA,20020121,1047560.04799702,4512.08862865216
MT,20020121,2275899.99261868,74702.941035923
MS,20020121,0,0
FL,20020121,0,0
MN,20020121,1282856.68100171,0
NH,20020121,87354.0204403722,0
ME,20020121,361053.547402948,0
AZ,20020121,0,44071.0153016247
MD,20020121,0,0
ND,20020121,1457627.22901019,0
VT,20020121,26147.7836285723,0
GA,20020121,0,0
ID,20020121,2108181.61015925,0
MN,20020122,1282856.68100171,0
TX,20020122,14744.2555542511,1026229.84191911
CA,20020122,0,303159.055158334
AZ,20020122,0,44071.0153016247
MD,20020122,0,0
MS,20020122,0,0
FL,20020122,0,0
WA,20020122,1047560.04799702,4512.08862865216
MT,20020122,2275899.99261868,74702.941035923
MI,20020122,56421.6565696108,1225429.54417079
ME,20020122,361053.547402948,0
ND,20020122,1457627.22901019,0
GA,20020122,0,0
MA,20020122,0,0
VT,20020122,26147.7836285723,0
NH,20020122,87354.0204403722,0
LA,20020122,0,0
ID,20020122,2108181.61015925,0
NY,20020122,2510552.98787252,0
MT,20020123,2275899.99261868,74702.941035923
MD,20020123,0,0
AZ,20020123,0,44071.0153016247
MN,20020123,1282856.68100171,0
ME,20020123,361053.547402948,0
GA,20020123,0,0
VT,20020123,26147.7836285723,0
CA,20020123,0,303159.055158334
NH,20020123,87354.0204403722,0
ID,20020123,2108181.61015925,0
WA,20020123,1047560.04799702,4512.08862865216
MS,20020123,0,0
NY,20020123,2510552.98787252,0
MI,20020123,56421.6565696108,1225429.54417079
MA,20020123,0,0
LA,20020123,0,0
ND,20020123,1457627.22901019,0
FL,20020123,0,0
TX,20020123,14744.2555542511,1026229.84191911
NY,20020124,2510552.98787252,0
WA,20020124,1047560.04799702,4512.08862865216
VT,20020124,26147.7836285723,0
