timepoint_id,timestamp,timeseries
2002010106,2002-01-01-06:00,20020101
2002010112,2002-01-01-12:00,20020101
2002010118,2002-01-01-18:00,20020101
2002010124,2002-01-01-24:00,20020101
2002010206,2002-01-02-06:00,20020102
2002010212,2002-01-02-12:00,20020102
2002010218,2002-01-02-18:00,20020102
2002010224,2002-01-02-24:00,20020102
2002010306,2002-01-03-06:00,20020103
2002010312,2002-01-03-12:00,20020103
2002010318,2002-01-03-18:00,20020103
2002010324,2002-01-03-24:00,20020103
2002010406,2002-01-04-06:00,20020104
2002010412,2002-01-04-12:00,20020104
2002010418,2002-01-04-18:00,20020104
2002010424,2002-01-04-24:00,20020104
2002010506,2002-01-05-06:00,20020105
2002010512,2002-01-05-12:00,20020105
2002010518,2002-01-05-18:00,20020105
2002010524,2002-01-05-24:00,20020105
2002010606,2002-01-06-06:00,20020106
2002010612,2002-01-06-12:00,20020106
2002010618,2002-01-06-18:00,20020106
2002010624,2002-01-06-24:00,20020106
2002010706,2002-01-07-06:00,20020107
2002010712,2002-01-07-12:00,20020107
2002010718,2002-01-07-18:00,20020107
2002010724,2002-01-07-24:00,20020107
2002010806,2002-01-08-06:00,20020108
2002010812,2002-01-08-12:00,20020108
2002010818,2002-01-08-18:00,20020108
2002010824,2002-01-08-24:00,20020108
2002010906,2002-01-09-06:00,20020109
2002010912,2002-01-09-12:00,20020109
2002010918,2002-01-09-18:00,20020109
2002010924,2002-01-09-24:00,20020109
2002011006,2002-01-10-06:00,20020110
2002011012,2002-01-10-12:00,20020110
2002011018,2002-01-10-18:00,20020110
2002011024,2002-01-10-24:00,20020110
2002011106,2002-01-11-06:00,20020111
2002011112,2002-01-11-12:00,20020111
2002011118,2002-01-11-18:00,20020111
2002011124,2002-01-11-24:00,20020111
2002011206,2002-01-12-06:00,20020112
2002011212,2002-01-12-12:00,20020112
2002011218,2002-01-12-18:00,20020112
2002011224,2002-01-12-24:00,20020112
2002011306,2002-01-13-06:00,20020113
2002011312,2002-01-13-12:00,20020113
2002011318,2002-01-13-18:00,20020113
2002011324,2002-01-13-24:00,20020113
2002011406,2002-01-14-06:00,20020114
2002011412,2002-01-14-12:00,20020114
2002011418,2002-01-14-18:00,20020114
2002011424,2002-01-14-24:00,20020114
2002011506,2002-01-15-06:00,20020115
2002011512,2002-01-15-12:00,20020115
2002011518,2002-01-15-18:00,20020115
2002011524,2002-01-15-24:00,20020115
2002011606,2002-01-16-06:00,20020116
2002011612,2002-01-16-12:00,20020116
2002011618,2002-01-16-18:00,20020116
2002011624,2002-01-16-24:00,20020116
2002011706,2002-01-17-06:00,20020117
2002011712,2002-01-17-12:00,20020117
2002011718,2002-01-17-18:00,20020117
2002011724,2002-01-17-24:00,20020117
2002011806,2002-01-18-06:00,20020118
2002011812,2002-01-18-12:00,20020118
2002011818,2002-01-18-18:00,20020118
2002011824,2002-01-18-24:00,20020118
2002011906,2002-01-19-06:00,20020119
2002011912,2002-01-19-12:00,20020119
2002011918,2002-01-19-18:00,20020119
2002011924,2002-01-19-24:00,20020119
2002012006,2002-01-20-06:00,20020120
2002012012,2002-01-20-12:00,20020120
2002012018,2002-01-20-18:00,20020120
2002012024,2002-01-20-24:00,20020120
2002012106,2002-01-21-06:00,20020121
2002012112,2002-01-21-12:00,20020121
2002012118,2002-01-21-18:00,20020121
2002012124,2002-01-21-24:00,20020121
2002012206,2002-01-22-06:00,20020122
2002012212,2002-01-22-12:00,20020122
2002012218,2002-01-22-18:00,20020122
2002012224,2002-01-22-24:00,20020122
2002012306,2002-01-23-06:00,20020123
2002012312,2002-01-23-12:00,20020123
2002012318,2002-01-23-18:00,20020123
2002012324,2002-01-23-24:00,20020123
2002012406,2002-01-24-06:00,20020124
2002012412,2002-01-24-12:00,20020124
2002012418,2002-01-24-18:00,20020124
2002012424,2002-01-24-24:00,20020124
2002012506,2002-01-25-06:00,20020125
2002012512,2002-01-25-12:00,20020125
2002012518,2002-01-25-18:00,20020125
2002012524,2002-01-25-24:00,20020125
2002012606,2002-01-26-06:00,20020126
2002012612,2002-01-26-12:00,20020126
2002012618,2002-01-26-18:00,20020126
2002012624,2002-01-26-24:00,20020126
2002012706,2002-01-27-06:00,20020127
2002012712,2002-01-27-12:00,20020127
2002012718,2002-01-27-18:00,20020127
2002012724,2002-01-27-24:00,20020127
2002012806,2002-01-28-06:00,20020128
2002012812,2002-01-28-12:00,20020128
2002012818,2002-01-28-18:00,20020128
2002012824,2002-01-28-24:00,20020128
2002012906,2002-01-29-06:00,20020129
2002012912,2002-01-29-12:00,20020129
2002012918,2002-01-29-18:00,20020129
2002012924,2002-01-29-24:00,20020129
2002013006,2002-01-30-06:00,20020130
2002013012,2002-01-30-12:00,20020130
2002013018,2002-01-30-18:00,20020130
2002013024,2002-01-30-24:00,20020130
2002013106,2002-01-31-06:00,20020131
2002013112,2002-01-31-12:00,20020131
2002013118,2002-01-31-18:00,20020131
2002013124,2002-01-31-24:00,20020131
2002020106,2002-02-01-06:00,20020201
2002020112,2002-02-01-12:00,20020201
2002020118,2002-02-01-18:00,20020201
2002020124,2002-02-01-24:00,20020201
2002020206,2002-02-02-06:00,20020202
2002020212,2002-02-02-12:00,20020202
2002020218,2002-02-02-18:00,20020202
2002020224,2002-02-02-24:00,20020202
2002020306,2002-02-03-06:00,20020203
2002020312,2002-02-03-12:00,20020203
2002020318,2002-02-03-18:00,20020203
2002020324,2002-02-03-24:00,20020203
2002020406,2002-02-04-06:00,20020204
2002020412,2002-02-04-12:00,20020204
2002020418,2002-02-04-18:00,20020204
2002020424,2002-02-04-24:00,20020204
2002020506,2002-02-05-06:00,20020205
2002020512,2002-02-05-12:00,20020205
2002020518,2002-02-05-18:00,20020205
2002020524,2002-02-05-24:00,20020205
2002020606,2002-02-06-06:00,20020206
2002020612,2002-02-06-12:00,20020206
2002020618,2002-02-06-18:00,20020206
2002020624,2002-02-06-24:00,20020206
2002020706,2002-02-07-06:00,20020207
2002020712,2002-02-07-12:00,20020207
2002020718,2002-02-07-18:00,20020207
2002020724,2002-02-07-24:00,20020207
2002020806,2002-02-08-06:00,20020208
2002020812,2002-02-08-12:00,20020208
2002020818,2002-02-08-18:00,20020208
2002020824,2002-02-08-24:00,20020208
2002020906,2002-02-09-06:00,20020209
2002020912,2002-02-09-12:00,20020209
2002020918,2002-02-09-18:00,20020209
2002020924,2002-02-09-24:00,20020209
2002021006,2002-02-10-06:00,20020210
2002021012,2002-02-10-12:00,20020210
2002021018,2002-02-10-18:00,20020210
2002021024,2002-02-10-24:00,20020210
2002021106,2002-02-11-06:00,20020211
2002021112,2002-02-11-12:00,20020211
2002021118,2002-02-11-18:00,20020211
