TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
20020101,2002,6,4,5
20020102,2002,6,4,5
20020103,2002,6,4,5
20020104,2002,6,4,5
20020105,2002,6,4,5
20020106,2002,6,4,5
20020107,2002,6,4,5
20020108,2002,6,4,5
20020109,2002,6,4,5
20020110,2002,6,4,5
20020111,2002,6,4,5
20020112,2002,6,4,5
20020113,2002,6,4,5
20020114,2002,6,4,5
20020115,2002,6,4,5
20020116,2002,6,4,5
20020117,2002,6,4,5
20020118,2002,6,4,5
20020119,2002,6,4,5
20020120,2002,6,4,5
20020121,2002,6,4,5
20020122,2002,6,4,5
20020123,2002,6,4,5
20020124,2002,6,4,5
20020125,2002,6,4,5
20020126,2002,6,4,5
20020127,2002,6,4,5
20020128,2002,6,4,5
20020129,2002,6,4,5
20020130,2002,6,4,5
20020131,2002,6,4,5
20020201,2002,6,4,5
20020202,2002,6,4,5
20020203,2002,6,4,5
20020204,2002,6,4,5
20020205,2002,6,4,5
20020206,2002,6,4,5
20020207,2002,6,4,5
20020208,2002,6,4,5
20020209,2002,6,4,5
20020210,2002,6,4,5
20020211,2002,6,4,5
20020212,2002,6,4,5
20020213,2002,6,4,5
20020214,2002,6,4,5
20020215,2002,6,4,5
20020216,2002,6,4,5
20020217,2002,6,4,5
20020218,2002,6,4,5
20020219,2002,6,4,5
20020220,2002,6,4,5
20020221,2002,6,4,5
20020222,2002,6,4,5
20020223,2002,6,4,5
20020224,2002,6,4,5
20020225,2002,6,4,5
20020226,2002,6,4,5
20020227,2002,6,4,5
20020228,2002,6,4,5
20020301,2002,6,4,5
20020302,2002,6,4,5
20020303,2002,6,4,5
20020304,2002,6,4,5
20020305,2002,6,4,5
20020306,2002,6,4,5
20020307,2002,6,4,5
20020308,2002,6,4,5
20020309,2002,6,4,5
20020310,2002,6,4,5
20020311,2002,6,4,5
20020312,2002,6,4,5
20020313,2002,6,4,5
20020314,2002,6,4,5
20020315,2002,6,4,5
20020316,2002,6,4,5
20020317,2002,6,4,5
20020318,2002,6,4,5
20020319,2002,6,4,5
20020320,2002,6,4,5
20020321,2002,6,4,5
20020322,2002,6,4,5
20020323,2002,6,4,5
20020324,2002,6,4,5
20020325,2002,6,4,5
20020326,2002,6,4,5
20020327,2002,6,4,5
20020328,2002,6,4,5
20020329,2002,6,4,5
20020330,2002,6,4,5
20020331,2002,6,4,5
20020401,2002,6,4,5
20020402,2002,6,4,5
20020403,2002,6,4,5
20020404,2002,6,4,5
20020405,2002,6,4,5
20020406,2002,6,4,5
20020407,2002,6,4,5
20020408,2002,6,4,5
20020409,2002,6,4,5
20020410,2002,6,4,5
20020411,2002,6,4,5
20020412,2002,6,4,5
20020413,2002,6,4,5
20020414,2002,6,4,5
20020415,2002,6,4,5
20020416,2002,6,4,5
20020417,2002,6,4,5
20020418,2002,6,4,5
20020419,2002,6,4,5
20020420,2002,6,4,5
20020421,2002,6,4,5
20020422,2002,6,4,5
20020423,2002,6,4,5
20020424,2002,6,4,5
20020425,2002,6,4,5
20020426,2002,6,4,5
20020427,2002,6,4,5
20020428,2002,6,4,5
20020429,2002,6,4,5
20020430,2002,6,4,5
20020501,2002,6,4,5
20020502,2002,6,4,5
20020503,2002,6,4,5
20020504,2002,6,4,5
20020505,2002,6,4,5
20020506,2002,6,4,5
20020507,2002,6,4,5
20020508,2002,6,4,5
20020509,2002,6,4,5
20020510,2002,6,4,5
20020511,2002,6,4,5
20020512,2002,6,4,5
20020513,2002,6,4,5
20020514,2002,6,4,5
20020515,2002,6,4,5
20020516,2002,6,4,5
20020517,2002,6,4,5
20020518,2002,6,4,5
20020519,2002,6,4,5
20020520,2002,6,4,5
20020521,2002,6,4,5
20020522,2002,6,4,5
20020523,2002,6,4,5
20020524,2002,6,4,5
20020525,2002,6,4,5
20020526,2002,6,4,5
20020527,2002,6,4,5
20020528,2002,6,4,5
20020529,2002,6,4,5
20020530,2002,6,4,5
20020531,2002,6,4,5
20020601,2002,6,4,5
20020602,2002,6,4,5
20020603,2002,6,4,5
20020604,2002,6,4,5
20020605,2002,6,4,5
20020606,2002,6,4,5
20020607,2002,6,4,5
20020608,2002,6,4,5
20020609,2002,6,4,5
20020610,2002,6,4,5
20020611,2002,6,4,5
20020612,2002,6,4,5
20020613,2002,6,4,5
20020614,2002,6,4,5
20020615,2002,6,4,5
20020616,2002,6,4,5
20020617,2002,6,4,5
20020618,2002,6,4,5
20020619,2002,6,4,5
20020620,2002,6,4,5
20020621,2002,6,4,5
20020622,2002,6,4,5
20020623,2002,6,4,5
20020624,2002,6,4,5
20020625,2002,6,4,5
20020626,2002,6,4,5
20020627,2002,6,4,5
20020628,2002,6,4,5
20020629,2002,6,4,5
20020630,2002,6,4,5
20020701,2002,6,4,5
20020702,2002,6,4,5
20020703,2002,6,4,5
20020704,2002,6,4,5
20020705,2002,6,4,5
20020706,2002,6,4,5
20020707,2002,6,4,5
20020708,2002,6,4,5
20020709,2002,6,4,5
20020710,2002,6,4,5
20020711,2002,6,4,5
20020712,2002,6,4,5
20020713,2002,6,4,5
20020714,2002,6,4,5
20020715,2002,6,4,5
20020716,2002,6,4,5
20020717,2002,6,4,5
20020718,2002,6,4,5
20020719,2002,6,4,5
20020720,2002,6,4,5
20020721,2002,6,4,5
20020722,2002,6,4,5
20020723,2002,6,4,5
20020724,2002,6,4,5
20020725,2002,6,4,5
20020726,2002,6,4,5
20020727,2002,6,4,5
20020728,2002,6,4,5
20020729,2002,6,4,5
20020730,2002,6,4,5
20020731,2002,6,4,5
20020801,2002,6,4,5
20020802,2002,6,4,5
20020803,2002,6,4,5
20020804,2002,6,4,5
20020805,2002,6,4,5
20020806,2002,6,4,5
20020807,2002,6,4,5
20020808,2002,6,4,5
20020809,2002,6,4,5
20020810,2002,6,4,5
20020811,2002,6,4,5
20020812,2002,6,4,5
20020813,2002,6,4,5
20020814,2002,6,4,5
20020815,2002,6,4,5
20020816,2002,6,4,5
20020817,2002,6,4,5
20020818,2002,6,4,5
20020819,2002,6,4,5
20020820,2002,6,4,5
20020821,2002,6,4,5
20020822,2002,6,4,5
20020823,2002,6,4,5
20020824,2002,6,4,5
20020825,2002,6,4,5
20020826,2002,6,4,5
20020827,2002,6,4,5
20020828,2002,6,4,5
20020829,2002,6,4,5
20020830,2002,6,4,5
20020831,2002,6,4,5
20020901,2002,6,4,5
20020902,2002,6,4,5
20020903,2002,6,4,5
20020904,2002,6,4,5
20020905,2002,6,4,5
20020906,2002,6,4,5
20020907,2002,6,4,5
20020908,2002,6,4,5
20020909,2002,6,4,5
20020910,2002,6,4,5
20020911,2002,6,4,5
20020912,2002,6,4,5
20020913,2002,6,4,5
20020914,2002,6,4,5
20020915,2002,6,4,5
20020916,2002,6,4,5
20020917,2002,6,4,5
20020918,2002,6,4,5
20020919,2002,6,4,5
20020920,2002,6,4,5
20020921,2002,6,4,5
20020922,2002,6,4,5
20020923,2002,6,4,5
20020924,2002,6,4,5
20020925,2002,6,4,5
20020926,2002,6,4,5
20020927,2002,6,4,5
20020928,2002,6,4,5
20020929,2002,6,4,5
20020930,2002,6,4,5
20021001,2002,6,4,5
20021002,2002,6,4,5
20021003,2002,6,4,5
20021004,2002,6,4,5
20021005,2002,6,4,5
20021006,2002,6,4,5
20021007,2002,6,4,5
20021008,2002,6,4,5
20021009,2002,6,4,5
20021010,2002,6,4,5
20021011,2002,6,4,5
20021012,2002,6,4,5
20021013,2002,6,4,5
20021014,2002,6,4,5
20021015,2002,6,4,5
20021016,2002,6,4,5
20021017,2002,6,4,5
20021018,2002,6,4,5
20021019,2002,6,4,5
20021020,2002,6,4,5
20021021,2002,6,4,5
20021022,2002,6,4,5
20021023,2002,6,4,5
20021024,2002,6,4,5
20021025,2002,6,4,5
20021026,2002,6,4,5
20021027,2002,6,4,5
20021028,2002,6,4,5
20021029,2002,6,4,5
20021030,2002,6,4,5
20021031,2002,6,4,5
20021101,2002,6,4,5
20021102,2002,6,4,5
20021103,2002,6,4,5
20021104,2002,6,4,5
20021105,2002,6,4,5
20021106,2002,6,4,5
20021107,2002,6,4,5
20021108,2002,6,4,5
20021109,2002,6,4,5
20021110,2002,6,4,5
20021111,2002,6,4,5
20021112,2002,6,4,5
20021113,2002,6,4,5
20021114,2002,6,4,5
20021115,2002,6,4,5
20021116,2002,6,4,5
20021117,2002,6,4,5
20021118,2002,6,4,5
20021119,2002,6,4,5
20021120,2002,6,4,5
20021121,2002,6,4,5
20021122,2002,6,4,5
20021123,2002,6,4,5
20021124,2002,6,4,5
20021125,2002,6,4,5
20021126,2002,6,4,5
20021127,2002,6,4,5
20021128,2002,6,4,5
20021129,2002,6,4,5
20021130,2002,6,4,5
20021201,2002,6,4,5
20021202,2002,6,4,5
20021203,2002,6,4,5
20021204,2002,6,4,5
20021205,2002,6,4,5
20021206,2002,6,4,5
20021207,2002,6,4,5
20021208,2002,6,4,5
20021209,2002,6,4,5
20021210,2002,6,4,5
20021211,2002,6,4,5
20021212,2002,6,4,5
20021213,2002,6,4,5
20021214,2002,6,4,5
20021215,2002,6,4,5
20021216,2002,6,4,5
20021217,2002,6,4,5
20021218,2002,6,4,5
20021219,2002,6,4,5
20021220,2002,6,4,5
20021221,2002,6,4,5
20021222,2002,6,4,5
20021223,2002,6,4,5
20021224,2002,6,4,5
